question_id,question,gold_answer,predicted_answer,judge_label,is_correct
1,What is RAG and why was it introduced?,"RAG (Retrieval-Augmented Generation) was introduced in mid-2020 by Lewis et al. to address LLM hallucinations and inaccuracies. It integrates external data retrieval before text generation, allowing LLMs to search knowledge bases for relevant information, which enhances accuracy and relevance of outputs.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
2,What are the main application categories of RAG based on NLP tasks?,"The survey identified seven task-based categories: Question Answering (20 studies - the largest), Text Generation and Summarization (6), Information Retrieval and Extraction (6), Text Analysis and Processing (5), Decision Making and Applications (5), Software Development and Maintenance (4), and Other Categories (6).","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
3,Which disciplines have adopted RAG technology the most?,"Medical/Biomedical and Technology/Software Development lead with 9 publications each. Social and Communication has 7, while Financial and Educational fields have only 2 each. The survey notes that Business and Agriculture remain underrepresented in RAG research.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
4,What is the primary motivation for introducing Retrieval-Augmented Generation (RAG) into Large Language Models?,To improve factual accuracy and reduce hallucinations by using external knowledge,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
5,What are the two main stages of a Retrieval-Augmented Generation system?,A RAG system consists of a retrieval stage that fetches relevant documents and a generation stage that produces answers using the retrieved context.,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
6,What distinguishes Modular RAG from Naive and Advanced RAG?,"Modular RAG introduces flexible and replaceable modules (such as search, memory, validation, and alignment modules) that can be reorganized or combined depending on the task.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
7,What is TreeQA and what problem does it solve?,TreeQA is a framework for multi-hop question answering that decomposes complex questions into a hierarchical logic tree of simpler sub-questions. It addresses LLM limitations like hallucination and error propagation by combining structured knowledge (Wikidata) with unstructured text (Wikipedia) and using iterative validation to correct reasoning errors.,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
8,How does TreeQA's self-correction mechanism work?,"TreeQA validates each node's hypothesis against retrieved evidence and classifies it as Supported, Refuted, or Unknown. When evidence contradicts a hypothesis (Refuted), the system reconstructs the entire sub-tree with corrected reasoning. If evidence is insufficient (Unknown), it generates new retrieval clues and retries up to a maximum number of attempts.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
9,What performance improvements does TreeQA achieve?,"TreeQA achieved Hit@1 scores of 87%, 57%, 53%, and 59% on WebQSP, QALD-en, AdvHotpotQA, and 2WikiMultiHopQA datasets respectively, representing 4-12% improvements over state-of-the-art LLM-RAG methods. The framework showed the largest relative improvements on weaker LLMs (up to 129% gain) while still enhancing stronger models.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
10,What is the main purpose of Retrieval Augmented Generation (RAG)?,To allow LLMs to access external knowledge sources by retrieving relevant text chunks,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
